1;7.84, 0.0399999999999996, 5.94
2;34.8166, 20.0166, 40.8356
3;231.347814, 59.084754, 218.258684
4;1252.07480946, 505.31555066, 1314.55451336
5;7492.2105952214, 2452.0633143594, 7455.3282072444
6;42626.5606197674, 15543.9143189979, 43561.3387577619
7;248667.937227856, 86008.6890502985, 250766.405490435
8;1432625.20166418, 508858.599982931, 1454303.92131246
9;8305127.3309569, 2911297.57563545, 8403048.00518345
10;47996947.5822574, 16936060.1720335, 48642681.2516849
11;277812370.518851, 97707473.672863, 281319619.891943
12;1606776105.84607, 566031677.409781, 1627724466.96373
13;9296631918.96084, 3272335148.63842, 9415923713.68445
14;53779028916.4174, 18937433145.4054, 54474620111.4313
15;311129796006.547, 109537309722.013, 315138132054.88
16;1799905321968.61, 633743939207.229, 1823139605242.65
17;10412810796670, 3666151154181.57, 10547093714619.9
18;60239475500048, 21209694701905.9, 61016700362640.4
19;348495306296514, 122700057106424, 352990583415815
20;2.01609696416923e+15, 709842404511460, 2.04210596995576e+15
lambda;5.7851533758566
