1;0.946717940668655, -0.187229634280333, 1
2;1, -0.284693934940124, 0.750204431702937
3;1, -0.280316909527727, 0.691579127515324
4;1, -0.278449839753962, 0.681798721602405
5;1, -0.27807707560487, 0.680263790837866
6;1, -0.278014626639038, 0.680031950137736
7;1, -0.278004907329185, 0.679997705209548
8;1, -0.278003449110532, 0.679992711151462
9;1, -0.278003234603477, 0.67999198819099
10;1, -0.278003203396325, 0.679991883979314
11;1, -0.278003198884976, 0.679991868995284
12;1, -0.278003198235217, 0.679991866843993
13;1, -0.278003198141837, 0.679991866535396
14;1, -0.278003198128434, 0.679991866491152
15;1, -0.278003198126512, 0.679991866484811
16;1, -0.278003198126236, 0.679991866483902
17;1, -0.278003198126197, 0.679991866483772
18;1, -0.278003198126191, 0.679991866483753
19;1, -0.27800319812619, 0.67999186648375
20;1, -0.27800319812619, 0.67999186648375
lambda;5.01457295922353
