1;6, 8, 6
2;42, 58, 36
3;300, 416, 216
4;2148, 2980, 1296
5;15384, 21344, 7776
6;110184, 152872, 46656
7;789168, 1094912, 279936
8;5652240, 7842064, 1679616
9;40482912, 56167040, 10077696
10;289949856, 402283936, 60466176
11;2076701376, 2881269248, 362797056
12;14873911872, 20636450368, 2176782336
13;106531086720, 147803987456, 13060694016
14;763005222528, 1058613197440, 78364164096
15;5464855259904, 7582081654784, 470184984576
16;39140810744064, 54304974053632, 2821109907456
17;280337354393088, 388947302500352, 16926659444736
18;2.00785397068032e+15, 2.78574857568102e+15, 101559956668416
19;1.4380807639084e+16, 1.99523047904461e+16, 609359740010496
20;1.0299933728859e+17, 1.42903946869482e+17, 3.65615844006298e+15
lambda;7.16177718162561
