1;0.75, 1, 0.75
2;0.724137931034483, 1, 0.620689655172414
3;0.721153846153846, 1, 0.519230769230769
4;0.720805369127517, 1, 0.434899328859061
5;0.720764617691154, 1, 0.36431784107946
6;0.720759851378931, 1, 0.305196504265006
7;0.720759293897592, 1, 0.255669862052841
8;0.720759228692854, 1, 0.21418034843888
9;0.720759221066305, 1, 0.17942366199109
10;0.72075922017428, 1, 0.150307209880735
11;0.720759220069946, 1, 0.12591570754862
12;0.720759220057743, 1, 0.105482401148573
13;0.720759220056316, 1, 0.0883649639011807
14;0.720759220056149, 1, 0.0740253043184279
15;0.720759220056129, 1, 0.0620126511403807
16;0.720759220056127, 1, 0.0519493832124816
17;0.720759220056126, 1, 0.0435191588575696
18;0.720759220056126, 1, 0.0364569715856672
19;0.720759220056126, 1, 0.0305408195399201
20;0.720759220056126, 1, 0.0255847268053571
lambda;7.16177718162561
