1;808, -8
2;6400, 64
3;51712, -512
4;409600, 4096
5;3309568, -32768
6;26214400, 262144
7;211812352, -2097152
8;1677721600, 16777216
9;13555990528, -134217728
10;107374182400, 1073741824
11;867583393792, -8589934592
12;6871947673600, 68719476736
13;55525337202688, -549755813888
14;439804651110400, 4398046511104
15;3.55362158097203e+15, -35184372088832
16;2.81474976710656e+16, 281474976710656
17;2.2743178118221e+17, -2.25179981368525e+15
18;1.8014398509482e+18, 1.8014398509482e+16
19;1.45556339956614e+19, -1.44115188075856e+17
20;1.15292150460685e+20, 1.15292150460685e+18
lambda;8.07839216078392
