1;1, -0.999900009999
2;9.99999999999056e-05, 1
3;1, -0.999900009999
4;0.000100000000000017, 1
5;1, -0.999900009999
6;0.000100000000000017, 1
7;1, -0.999900009999
8;0.000100000000000017, 1
9;1, -0.999900009999
10;0.000100000000000017, 1
11;1, -0.999900009999
12;0.000100000000000017, 1
13;1, -0.999900009999
14;0.000100000000000017, 1
15;1, -0.999900009999
16;0.000100000000000017, 1
17;1, -0.999900009999
18;0.000100000000000017, 1
19;1, -0.999900009999
20;0.000100000000000017, 1
lambda;-7.999199840008
