1;1, -0.999000999000999
2;0.000999999999999966, 1
3;1, -0.999000999000999
4;0.000999999999999966, 1
5;1, -0.999000999000999
6;0.000999999999999966, 1
7;1, -0.999000999000999
8;0.000999999999999966, 1
9;1, -0.999000999000999
10;0.000999999999999966, 1
11;1, -0.999000999000999
12;0.000999999999999966, 1
13;1, -0.999000999000999
14;0.000999999999999966, 1
15;1, -0.999000999000999
16;0.000999999999999966, 1
17;1, -0.999000999000999
18;0.000999999999999966, 1
19;1, -0.999000999000999
20;0.000999999999999966, 1
lambda;-7.99198400801599
