1;88, -8
2;640, 64
3;5632, -512
4;40960, 4096
5;360448, -32768
6;2621440, 262144
7;23068672, -2097152
8;167772160, 16777216
9;1476395008, -134217728
10;10737418240, 1073741824
11;94489280512, -8589934592
12;687194767360, 68719476736
13;6047313952768, -549755813888
14;43980465111040, 4398046511104
15;387028092977152, -35184372088832
16;2.81474976710656e+15, 281474976710656
17;2.47697979505377e+16, -2.25179981368525e+15
18;1.8014398509482e+17, 1.8014398509482e+16
19;1.58526706883441e+18, -1.44115188075856e+17
20;1.15292150460685e+19, 1.15292150460685e+18
lambda;8.63366336633663
