1;80008, -8
2;640000, 64
3;5120512, -512
4;40960000, 4096
5;327712768, -32768
6;2621440000, 262144
7;20973617152, -2097152
8;167772160000, 16777216
9;1342311497728, -134217728
10;10737418240000, 1073741824
11;85907935854592, -8589934592
12;687194767360000, 68719476736
13;5.49810789469389e+15, -549755813888
14;4.398046511104e+16, 4398046511104
15;3.51878905260409e+17, -35184372088832
16;2.81474976710656e+18, 281474976710656
17;2.25202499366662e+19, -2.25179981368525e+15
18;1.8014398509482e+20, 1.8014398509482e+16
19;1.44129599594663e+21, -1.44115188075856e+17
20;1.15292150460685e+22, 1.15292150460685e+18
lambda;8.000799839992
